mibig_accession,compounds,accession
BGC0000054,erythromycin,AY623658.2
BGC0000055,erythromycin A|erythromycin B|erythromycin C|erythromycin D,AM420293.1
BGC0000056,esperamicin,AY267372.1
BGC0000057,F9775A|F9775B|orsellinic acid,AACD01000135.1
BGC0000058,FD-891,AB469193.1
BGC0000059,filipin,BA000030.3
BGC0000060,fostriecin,HQ434551.1
BGC0000061,levorin A3|C06690|FR-008-III|candicidin A|UNII-AP5PEF5W7U,AY310323.2
BGC0000062,fumonisin B1,AF155773.5
BGC0000063,fumonisin,EU449979.1
BGC0000064,fusarin,AY604568.1
BGC0000065,galbonolide A|galbonolide B,GU300145.1
BGC0000066,geldanamycin,AY179507.1
BGC0000067,geldanamycin,DQ249341.1
BGC0000068,geldanamycin,DQ914285.1
BGC0000069,gephyronic acid,KF479198.1
BGC0000070,griseofulvin|epidechlorogriseofulvin|norlichexanthone|dehydrogriseofulvin|4-desmethylgriseofulvin|griseoxanthone B,GU574478.1
BGC0000072,gulmirecin A,KM361622.1
BGC0000073,halstoctacosanolide A,AB241068.1
BGC0000074,herbimycin A,AY947889.1
BGC0000075,hygrocin A|hygrocin B,JX504844.1
BGC0000076,hypothemycin,EU520417.1
BGC0000077,hypothemycin,EU520418.1
BGC0000078,incednine,AB767280.1
BGC0000079,X-14547,FJ545274.1
BGC0000080,jerangolid A|jerangolid D,DQ897668.1
BGC0000081,kedarcidin,JX679499.1
BGC0000082,kijanimicin,EU301739.1
BGC0000083,"lactimidomycin|8,9-dihydrolactimidomycin|8-hydroxy-8,9-dihydrolactidomycin|17-hydroxy-8-desmethoxy-isomigrastatin",GQ274954.1
BGC0000084,laidlomycin,JQ793783.1
BGC0000085,lankamycin,AB088224.2
BGC0000086,lasalocid,AB449340.1
BGC0000087,lasalocid,FM173265.1
BGC0000088,monacolin K,AH007774.2
BGC0000089,lovastatin,AF141925.1
BGC0000090,macbecin|macbecin II,EU827593.1
BGC0000091,marineosin A|marineosin B,KF711829.1
BGC0000092,megalomicin A|megalomicin B|megalomicin C1|megalomicin C2,AF263245.1
BGC0000093,meilingmycin,FJ952082.1
BGC0000094,methymycin,AF079138.1
BGC0000095,micromonolactam,KC608848.1
BGC0000096,midecamycin,BD420675.1
BGC0000097,ML-449,FJ872525.1
BGC0000098,monacolin K,DQ176595.1
BGC0000099,monascorubrin,HM070047.1
BGC0000100,monensin,AF440781.1
BGC0000101,emodin|monodictyphenone|shamixanthone,BN001308.1
BGC0000102,mycinamicin II,AB089954.2
BGC0000103,mycolactone B,BX649209.1
BGC0000104,mycophenolic acid,HQ731031.1
BGC0000105,nanchangmycin,AF521085.1
BGC0000106,naphthomycin A,GQ452266.1
BGC0000107,naphthopyrone,BN001302.1
BGC0000108,natamycin,HQ386234.1
BGC0000109,LL-F28249α,AB363939.1
BGC0000110,spectinabilin|orinocin|SNF4435C|SNF4435D,AM778535.1
BGC0000111,neocarzilin A|neocarzilin B,AB097904.1
BGC0000112,neocarzinostatin,AY117439.1
BGC0000113,niddamycin,AF016585.1
BGC0000114,nigericin,DQ354110.1
BGC0000115,nystatin A1,AF263912.1
BGC0000116,nystatin-like Pseudonocardia polyene,EU108007.1
BGC0000117,oligomycin,AB070940.1
BGC0000118,pactamycin,AB303063.1
BGC0000119,7-deoxypactamycin,FJ392609.1
BGC0000120,patulin,KF899892.1
BGC0000121,RES-1214-2,KC145148.1
BGC0000122,phenylnannolone A|phenylnannolone B|phenylnannolone C,KF739396.1
BGC0000123,phoslactomycin B,AY354515.1
BGC0000124,piericidin A1,HQ840721.1
BGC0000125,pimaricin,AJ278573.1
BGC0000126,pladienolide B,AB435553.1
BGC0000127,pyoluteorin,AF081920.3
BGC0000128,pyoluteorin,AY394844.4
BGC0000129,pyripyropene A,CM000174.1
BGC0000130,pyrrolomycin A|pyrrolomycin B|pyrrolomycin C|pyrrolomycin D,EF140901.1
BGC0000131,pyrrolomycin,EF140902.1
BGC0000132,pyrrolomycin,EF140903.1
BGC0000133,quartromicin A1,JF970188.1
BGC0000134,radicicol,EU520419.1
BGC0000135,reveromycin A,AB568601.1
BGC0000136,rifamycin,AF040570.3
BGC0000137,rifamycin,CP000850.1
BGC0000138,rimocidin,AY442225.1
BGC0000140,4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one,GQ332353.1
BGC0000141,rubradirin,AJ871581.1
BGC0000142,salinilactam,CP000667.1
BGC0000143,salinomycin,DQ630728.1
BGC0000144,salinomycin,JN033543.1
BGC0000145,salinosporamide A,EF397502.1
BGC0000146,solanapyrone D,AB514562.1
BGC0000147,soraphen A,U24241.2
BGC0000148,A83543A,AY007564.1
BGC0000149,spirangien O,AM407731.1
BGC0000150,sporolide A|sporolide B,CP000667.1
BGC0000151,stambomycin A|stambomycin B|stambomycin C|stambomycin D,AM238664.2
BGC0000152,sterigmatocystin,U34740.1
BGC0000153,stigmatellin,AJ421825.1
BGC0000154,stipitatic acid,EQ962655.1
BGC0000155,T-toxin,FJ943499.1
BGC0000156,"TAN-1612|1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione|desmethyl TAN-1612",JN257714.1
BGC0000157,tautomycetin,DQ983361.1
BGC0000158,tautomycetin,EU035755.1
BGC0000159,tautomycin,EF990140.1
BGC0000160,terreic acid,CH476602.1
BGC0000161,isoterrein,CH476594.1
BGC0000162,tetrocarcin A,EU443633.1
BGC0000163,tetronasin,FJ462704.1
BGC0000164,tetronomycin,AB193609.1
BGC0000165,tiacumicin B,HQ011923.1
BGC0000166,tylactone,U78289.1
BGC0000167,vicenistatin,AB086653.1
BGC0000168,viridicatumtoxin|previridicatumtoxin|5-hydroxyanthrotainin|8-O-desmethylanthrotainin,GU574477.1
BGC0000170,yanuthone D,ACJE01000012.1
BGC0000171,9-methylstreptimidone,FR878059.1
BGC0000172,basiliskamide A|basiliskamide B,AXBT01000013.1
BGC0000173,isobongkrekic acid|bongkrekic acid,JX173632.1
BGC0000174,bryostatin,DQ889941.1
BGC0000175,cycloheximide,JX014302.1
BGC0000176,difficidin,AJ634062.2
BGC0000177,iso-migrastatin|migrastatin|dorrigocin A|dorrigocin B|13-epi-dorrigocin A,GQ274953.1
BGC0000178,elansolid A1,HQ680975.1
BGC0000179,etnangien,AM746676.1
BGC0000180,legioliulin,KM222819.1
BGC0000181,macrolactin H,AJ634061.2
BGC0000182,pseudomonic acid A,AF318063.3
BGC0000183,paenimacrolidin,GQ262808.1
BGC0000184,sorangicin A,HM584908.1
BGC0000185,tartrolon,CP001614.2
BGC0000186,thailandamide|thailandamide lactone,CP000085.1
BGC0000187,asukamycin,GQ926890.1
BGC0000188,saxitoxin|neosaxitoxin|decarbamoylsaxitoxin|gonyautoxin 3|gonyautoxin 2,DQ787200.1
BGC0000189,3-(2'-hydroxy-3'-oxo-4'-methylpentyl)-indole|3-(2'-hydroxy-3'-oxo-4'-methylhexyl)-indole|3-(2'-acetoxy-3'-oxo-4'-methylpentyl)-indole|3-(2'-acetoxy-3'-oxo-4'-methylhexyl)-indole,FN667741.1
BGC0000190,A-74528,GU937384.1
BGC0000191,aclacinomycin,AB008466.1
BGC0000192,aclacinomycin,AF257324.2
BGC0000193,aclacinomycin,AF264025.1
BGC0000194,actinorhodin,AL645882.2
BGC0000195,"alnumycin A|alnumycin B|alnumycin C|alnumycin P|prealnumycin|thalnumycin A|thalnumycin B|K1115A|1,6-dihydro-8-propylanthraquinone",EU852062.1
BGC0000196,AQ-256|AQ-270a|AQ-284a,BX470251.1
BGC0000197,aranciamycin,DQ915964.1
BGC0000198,arenimycin A,NZ_AZXI01000002.1
BGC0000199,arimetamycin B|arimetamycin C|arimetamycin A,KF040454.1
BGC0000200,arixanthomycin A|arixanthomycin B|arixanthomycin C,KF931341.1
BGC0000201,auricin,KJ396772.1
BGC0000202,azicemicin B,GU134622.1
BGC0000203,BE-7585A,HM055942.1
BGC0000204,benastatin A|benastatin B|BE-43767|TAN1532B,AM501485.1
BGC0000205,bryostatin,DQ889942.1
BGC0000206,chartreusin,AJ786382.1
BGC0000207,chartreusin,AJ786383.1
BGC0000208,chelocardin,KC870000.2
BGC0000209,chlortetracycline,HM627755.1
BGC0000210,chromomycin A3,AJ578458.1
BGC0000211,chrysomycin,FN565166.1
BGC0000212,cinerubin B,GG770539.1
BGC0000213,colabomycin E,KF850685.1
BGC0000214,cosmomycin B,DQ280500.1
BGC0000215,curamycin,X62518.1
BGC0000216,dactylocycline A,JX262387.1
BGC0000217,daunorubicin,L34880.1
BGC0000218,doxorubicin,L35560.1
BGC0000219,elloramycin,AM900040.1
BGC0000220,enterocin,AF254925.1
BGC0000221,erdacin,FJ719113.1
BGC0000222,FD-594,AB469194.1
BGC0000223,rabelomycin|dehydrorabelomycin|fluostatin F|fluostatin G|fluostatin H,HM193369.1
BGC0000224,fredericamycin A,AF525490.2
BGC0000225,frenolicin B,AF058302.1
BGC0000226,gilvocarcin V,AY233211.2
BGC0000227,granaticin,AJ011500.1
BGC0000228,granaticin,X16300.1
BGC0000229,grincamycin,KC962511.1
BGC0000230,griseorhodin A,AF509565.1
BGC0000231,griseusin A|griseusin B,X77865.1
BGC0000232,hatomarubigin A|hatomarubigin B|hatomarubigin C|hatomarubigin D,AB524586.1
BGC0000233,hedamycin,AY196994.1
BGC0000234,jadomycin,AF126429.1
BGC0000235,kiamycin,AGSW01000147.1
BGC0000236,kinamycin,AH012623.2
BGC0000237,lactonamycin Z,EU147299.1
BGC0000238,lactonamycin,EU147298.1
BGC0000239,landomycin A,AF080235.1
BGC0000240,lomaiviticin A|lomaiviticin C|lomaiviticin D|lomaiviticin E,KF731828.1
BGC0000241,lomaiviticin A|lomaiviticin C|lomaiviticin D|lomaiviticin E,CP000667.1
BGC0000242,lysolipin I,AM492533.1
BGC0000243,nonactin|monactin|dinactin|trinactin|tetranactin,AF263011.1
BGC0000244,nonactin|monactin|dinactin|trinactin|tetranactin,AF263012.1
BGC0000245,medermycin,AB103463.1
BGC0000246,mithramycin,AJ007932.2
BGC0000247,mithramycin,X89899.2
BGC0000248,α naphtocyclinoic acid|fogacin,JAKQYH010000014.1
BGC0000249,nogalamycin,AF323753.1
BGC0000250,"nogalaviketone|nogalonic acid|nogalonic acid methyl ester|nogalamycinone|3',4'-demethoxynogalose-nogalamycinone|3',4'-demethoxynogalose-1-hydroxynogalamycinone|nogalamycin F|nogalamycin R",AJ224512.2
BGC0000251,nogalamycin,BD251846.1
BGC0000252,nonactin,AF074603.2
BGC0000253,oviedomycin,AJ632203.2
BGC0000254,oxytetracycline,DQ143963.2
BGC0000255,pederin,AY850690.1
BGC0000256,pradimicin-A,EF151801.1
BGC0000257,prodigiosin,AB469822.1
BGC0000258,prodigiosin,AJ833001.1
BGC0000259,prodigiosin,AJ833002.1
BGC0000260,prodigiosin,DQ266254.1
BGC0000261,R1128,AF293442.1
BGC0000262,prejadomycin|rabelomycin|gaudimycin C|gaudimycin D|UWM6|gaudimycin A,AY034378.2
BGC0000263,ravidomycin,FN565485.1
BGC0000264,resistomycin|resistoflavine,AJ585192.1
BGC0000265,rhodomycin,U10405.2
BGC0000266,collinomycin,AF293355.2
BGC0000267,saquayamycin Z,FJ670504.1
BGC0000268,Sch-47554|Sch-47555,AJ628018.2
BGC0000269,SF2575,GQ409537.1
BGC0000270,simocyclinone D8,AF322256.1
BGC0000271,spore pigment,AB070937.1
BGC0000272,spore pigment,AF293354.1
BGC0000273,steffimycin D,AM156932.1
BGC0000274,tetarimycin A|tetarimycin B,JX843821.1
BGC0000275,tetracenomycin C,M80674.1
BGC0000276,urdamycin A,AF164961.1
BGC0000277,urdamycin,AF164961.1
BGC0000278,urdamycin,AF269227.1
BGC0000279,xantholipin,GQ421798.1
BGC0000280,"2,4-diacetylphloroglucinol",AF497760.1
BGC0000281,"2,4-diacetylphloroglucinol",DQ083928.1
BGC0000282,alkylresorcinol,AP009493.1
BGC0000283,cetoniacytone A,EF120454.2
BGC0000284,phenolic lipids,CP001157.1
BGC0000285,"flaviolin|flaviolin rhamnoside|3,3'-diflaviolin",AY078067.1
BGC0000286,viguiepinol,AB183750.1
BGC0000287,L-2-amino-4-methoxy-trans-3-butenoic acid,AE004091.2
BGC0000288,A-503083 A|A-503083 B|A-503083 E|A-503083 F,AB538860.1
BGC0000289,A40926,AJ561198.1
BGC0000290,A-47934,U82965.2
BGC0000291,A54145,DQ118863.1
BGC0000292,acetylaranotin,CH476597.1
BGC0000293,acetylaszonalenin,DS027698.1
BGC0000294,acinetobactin,AB101202.1
BGC0000295,acinetoferrin,AB661448.1
BGC0000296,actinomycin D,HM038106.1
BGC0000297,aeruginoside 126B|aeruginoside 126A,AM071396.2
BGC0000298,aeruginosin 98-A|aeruginosin 98-B|aeruginosin 98-C,FJ609416.1
BGC0000299,alterochromide A|bromoalterochromide A|dibromoalterochromide A|alterochromide B|bromoalterochromide B|dibromoalterochromide B|alterochromide A'|bromoalterochromide A'|dibromoalterochromide A'|alterochromide B'|bromoalterochromide B'|dibromoalterochromide B'|alterochromide A''|bromoalterochromide A''|alterochromide B''|bromoalterochromide B'',MIBIG.BGC0000299.1
BGC0000300,amychelin,GG657746.1
BGC0000301,anabaenopeptin 908|anabaenopeptin 915,EF672686.1
BGC0000302,anabaenopeptin,GU174493.1
BGC0000303,anthramycin,EU195114.1
BGC0000304,apicidin,GQ331953.1
BGC0000305,arthrofactin A,AB107223.1
BGC0000306,arylomycin,ABYX02000001.1
BGC0000307,AbT1,EU886741.1
BGC0000308,aureusimine A|aureusimine B|aureusimine C,CP002120.1
BGC0000309,bacillibactin,AL009126.3
BGC0000310,bacitracin,AF007865.2
BGC0000311,balhimycin,Y16952.3
BGC0000312,bassianolide,FJ439897.1
BGC0000313,beauvericin,EU886196.1
BGC0000314,bromoalterochromide A,NZ_AHCC01000002.1
BGC0000315,CDA1b|CDA2a|CDA2b|CDA3a|CDA3b|CDA4a|CDA4b,AL645882.2
BGC0000316,capreomycin IA|capreomycin IB|capreomycin IIA|capreomycin IIB,EF472579.1
BGC0000317,cephalosporin C,JPKY01000002.1
BGC0000318,"cephalosporin, cefEFG genes",JPKY01000040.1
BGC0000319,cephamycin C,DS570624.1
BGC0000320,cereulide,DQ360825.1
BGC0000321,chaetocin,KF496217.1
BGC0000322,chloroeremomycin,AJ223999.1
BGC0000323,cichofactin A|cichofactin B,KJ513093.1
BGC0000324,coelibactin,AL645882.2
BGC0000325,coelichelin,AL645882.2
BGC0000326,isocomplestatin,AF386507.1
BGC0000327,netropsin,AM238664.2
BGC0000328,coronatine,AY391839.1
BGC0000329,corpeptin A|corpeptin B,KF192265.2
BGC0000330,cupriachelin,AM260480.1
BGC0000331,cyanopeptolin,DQ837301.1
BGC0000332,cyanopeptolin,DQ075244.1
BGC0000333,cyclomarin D,CP000850.1
BGC0000334,cyclosporin,QEPI01000018.1
BGC0000335,cystomanamide A|cystomanamide B|cystomanamide C|cystomanamide D,KJ710244.1
BGC0000336,daptomycin,AY787762.1
BGC0000337,destruxin A,GL698760.1
BGC0000338,echinocandin B,JX421684.1
BGC0000339,echinomycin,AB211309.1
BGC0000340,echoside A|echoside B|echoside C|echoside D|echoside E,KJ156360.1
BGC0000341,enduracidin,DQ403252.1
BGC0000342,enniatin,Z18755.3
BGC0000343,enterobactin,GQ370384.1
BGC0000344,entolysin,CT573326.1
BGC0000345,eponemycin,KF647220.1
BGC0000346,epoxomicin,KF647219.1
BGC0000347,equibactin,AM909652.1
BGC0000348,ergovaline,EF125025.1
BGC0000349,erythrochelin,AM420293.1
BGC0000350,ET-743,HQ609499.1
BGC0000351,exochelin,AF027770.1
BGC0000352,fimsbactin A,CR543861.1
BGC0000353,tacrolimus,AF082100.1
BGC0000354,friulimicin A|friulimicin B|friulimicin C|friulimicin D,AJ488769.3
BGC0000355,fumiquinazoline A|fumiquinazoline C|fumiquinazoline D,CM000174.1
BGC0000356,verruculogen|fumitremorgin B|fumitremorgin c|tryprostatin A|tryprostatin B|demethoxyfumitremorgin C|brevianamide F,AB436628.1
BGC0000357,cyclo-(D-Phe-L-Phe-D-Val-L-Val)|cyclo-(D-Tyr-L-Phe-D-Val-L-Val)|cyclo-(D-Tyr-L-Trp-D-Val-L-Val)|cyclo-(D-Phe-L-Trp-D-Val-L-Val)|cyclo-(D-Phe-L-Phe-D-Val-L-Ile)|cyclo-(D-Phe-L-Phe-D-Ile-L-Val)|cyclo-(D-Tyr-L-Trp-D-Val-L-Ile)|cyclo-(D-Tyr-L-Trp-D-Ile-L-Val)|cyclo-(D-Tyr-L-Phe-D-Val-L-Ile)|cyclo-(D-Tyr-L-Phe-D-Ile-L-Val),AM920431.1
BGC0000358,fusaricidin A|fusaricidin B|LI-F05a|LI-F05b|LI-F08a|LI-F08b,EU431181.2
BGC0000359,fuscachelin A|fuscachelin B|fuscachelin C,CP000088.1
BGC0000360,GE81112,FN821996.1
BGC0000361,gliotoxin|bisdethiobis(methylthio)gliotoxin,AAHF01000006.1
BGC0000362,glycopeptidolipid,AF143772.2
BGC0000363,glycopeptidolipid,AM231612.1
BGC0000364,glycopeptidolipid,AM231618.1
BGC0000365,glycopeptidolipid,AY439015.3
BGC0000366,gobichelin A|gobichelin B,KC215181.1
BGC0000367,gramicidin,AP008955.1
BGC0000368,griseobactin,FN545130.1
BGC0000369,hassallidin C,KJ502174.1
BGC0000370,HC toxin,M98024.2
BGC0000371,heterobactin A|heterobactin S2,AP008957.1
BGC0000372,hexadehydroastechrome|terezine-D|astechrome,CM000171.1
BGC0000373,holomycin,CM000913.1
BGC0000374,hormaomycin|hormaomycin A1|hormaomycin A2|hormaomycin A3|hormaomycin A4|hormaomycin A5|hormaomycin A6,HQ542230.1
BGC0000375,indigoidine,JX499187.1
BGC0000376,JBIR-34|JBIR-35,AB902962.1
BGC0000377,koranimine,JF828091.1
BGC0000378,kutzneride 2,EU074211.1
BGC0000379,glycinocin A,HM756254.1
BGC0000380,leupyrrin,HM639990.1
BGC0000381,lichenysin,AE017333.1
BGC0000382,lipstatin,KJ872771.1
BGC0000383,luminmycin A|glidobactin A|cepafungin,CP024901.1
BGC0000384,lyngbyatoxin,AY588942.1
BGC0000385,lysobactin,JF412274.1
BGC0000386,malleobactin A|malleobactin B|malleobactin C|malleobactin D,CP000086.1
BGC0000387,mangotoxin,JQ409468.1
BGC0000388,mannopeptimycin,AY735112.1
BGC0000389,massetolide A,EU199081.2
BGC0000391,methylpendolmycin|pendolmycin,JN634585.1
BGC0000392,mirubactin,CP001630.1
BGC0000393,myxoprincomide-c506,CP000113.1
BGC0000394,naphthyridinomycin,JQ996389.1
BGC0000395,nocardicin A,AY541063.1
BGC0000396,nodularin,JF342711.1
BGC0000397,nostocyclopeptide A2,AY167420.1
BGC0000398,orfamide B,JQ309921.1
BGC0000399,orfamide A|orfamide C,CP000076.1
BGC0000400,paenibacterin,JX899679.1
BGC0000401,paenibactin,HQ668144.1
BGC0000402,paenilarvin A|paenilarvin B|paenilarvin C,CP003355.1
BGC0000403,pelgipeptin,JQ745271.1
BGC0000404,penicillin,DQ192518.1
BGC0000405,δ-(L-α-aminoadipyl)-L-cysteine-D-valine|isopenicillin N|benzylpenicillin|phenoxymethylpenicillin,EF601124.1
BGC0000406,phosphinothricintripeptide,X65195.2
BGC0000407,plipastatin,JQ073773.1
BGC0000408,polymyxin,EU371992.1
BGC0000409,porothramycin A,HQ872605.1
BGC0000410,pseudomonine,EF484930.1
BGC0000411,putisolvin,DQ151887.2
BGC0000412,pyochelin,AF074705.2
BGC0000413,Pf-5 pyoverdine,CP000076.1
BGC0000414,quinocarcin,AB819321.1
BGC0000415,quinomycin,JN852959.1
BGC0000416,rhabdopeptide 1|rhabdopeptide 2|rhabdopeptide 3|rhabdopeptide 4,FN667742.1
BGC0000417,rhodochelin,CP000431.1
BGC0000418,ristocetin,KJ364518.1
BGC0000419,ristomycin A,CP008953.1
BGC0000420,histidyltryptophanyldiketopiperazine|dehydrohistidyltryptophanyldiketopiperazine|roquefortine D|roquefortine C|glandicoline A|glandicoline B|meleagrine,AM920436.1
BGC0000421,safracin A|safracin B,AY061859.1
BGC0000422,saframycin A|saframycin B,DQ838002.1
BGC0000423,scabichelin,FN554889.1
BGC0000424,serobactin C|serobactin B|serobactin A,CP002039.1
BGC0000425,sessilin A,JQ309920.1
BGC0000426,sevadicin,KF318360.1
BGC0000427,shinorine|4-deoxygadusol|mycosporine glycine,CP000117.1
BGC0000428,sibiromycin,FJ768674.1
BGC0000429,skyllamycin A|skyllamycin B,JF430460.1
BGC0000430,spumigin E,CP007203.2
BGC0000431,stenothricin,DS999644.1
BGC0000432,streptothricin,AB684619.1
BGC0000433,surfactin,AJ575642.1
BGC0000434,SW-163C|UK-63598|SW-163E|SW-163F|SW-163G,AB375771.1
BGC0000435,syringafactin,AE016853.1
BGC0000436,syringolin A,AJVM01000074.1
BGC0000437,syringomycin,CP000075.1
BGC0000438,syringopeptin 25A,AF286216.2
BGC0000439,taromycin A,KF301601.1
BGC0000440,teicoplanin,AJ605139.1
BGC0000441,teicoplanin,AJ632270.1
BGC0000442,terrequinone A,BN001305.1
BGC0000443,thanamycin,HQ888764.1
BGC0000444,thaxtomin A,AY707081.1
BGC0000445,thiocoraline,AM113472.1
BGC0000446,tilivalline|9-deoxy tilivalline|dihydroxy tilivalline|dehydro tilivalline|dihydroxy-dehydro tilivalline,HG425356.1
BGC0000447,tolaasin I|tolaasin F,HE967327.1
BGC0000448,tomaymycin,FJ768957.1
BGC0000449,tridecaptin,KF111342.1
BGC0000450,triostin A,AB366635.1
BGC0000451,turnerbactin,CP001614.2
BGC0000452,tyrocidine,AP008955.1
BGC0000453,valinomycin,DQ174261.1
BGC0000454,vanchrobactin,AM168450.2
BGC0000455,vancomycin,HQ679900.1
BGC0000456,verlamelin,AB862312.1
BGC0000457,vicibactin,CP000138.1
BGC0000458,viomycin,AY263398.1
BGC0000459,griseoviridin|fijimycin A,JX508597.1
BGC0000460,vulnibactin,AE016796.2
BGC0000461,WAP-8294A2,JN596952.1
BGC0000462,viscosin,JN982332.1
BGC0000463,xantholysin A|xantholysin B|xantholysin C,KC297506.1
BGC0000464,xenoamicin A|xenoamicin B,FO704550.1
BGC0000465,xenortide A|xenortide B|xenortide C|xenortide D,FN667742.1
BGC0000466,yatakemycin,JF429418.1
BGC0000467,yersiniabactin,Y12527.1
BGC0000468,bottromycin A2,HE983629.1
BGC0000469,bottromycin A2,JX235926.1
BGC0000470,bottromycin D,JX827389.1
BGC0000471,viridisamide A,CP003614.1
BGC0000472,anacyclamide A10,FJ461733.2
BGC0000473,microcyclamide,AM774406.1
BGC0000474,microcyclamide,AM931579.1
BGC0000475,patellamide A|patellamide C,AY986476.1
BGC0000476,patellamide B,DQ869558.1
BGC0000477,patellin 2|patellin 3,EU290742.1
BGC0000478,patellin 6|trunkamide,EU290743.1
BGC0000479,prenylagaramide B|prenylagaramide C,HQ655154.1
BGC0000480,tenuecyclamide A|tenuecyclamide C,EU290741.1
BGC0000481,trichamide,NZ_AABK04000003.1
BGC0000482,trunkamide,EU290744.1
BGC0000483,aeruginosamide B|aeruginosamide C,CAIH01000183.1
BGC0000484,glycocin F,GU552553.1
BGC0000485,acidocin B,Z34920.1
BGC0000486,butyrivibriocin AR10,AF076529.2
BGC0000487,carnocyclin,EU624394.2
BGC0000488,circularin A,AJ566621.1
BGC0000489,enterocin AS-48,Y12234.1
BGC0000490,garvicin ML,AMQS01000001.1
BGC0000491,gassericin A,AB007043.2
BGC0000492,lactocyclicin Q,AB462499.1
BGC0000493,leucocyclicin Q,AB649282.1
BGC0000494,uberolysin,DQ650653.1
BGC0000495,actagardine,FJ547091.1
BGC0000496,AmfS,AP009493.1
BGC0000497,BHT-Aα|BHT-Aβ,DQ145752.1
BGC0000498,bovicin HJ50,EU497962.2
BGC0000499,butyrivibriocin OR79,AF062647.2
BGC0000500,carnolysin A1|carnolysin A2,KF573751.1
BGC0000501,catenulipeptin,CP001700.1
BGC0000502,cerecidin|cerecidin A1|cerecidin A2|cerecidin A3|cerecidin A4|cerecidin A5|cerecidin A6|cerecidin A7,KJ000001.1
BGC0000503,cinnamycin,AJ536588.1
BGC0000504,cytolysin ClyLl|cytolysin ClyLs,L37110.1
BGC0000505,enterocin W α|enterocin W β,AB600897.1
BGC0000506,entianin,HQ871873.1
BGC0000507,epicidin,Y14023.1
BGC0000508,epidermin,X62386.1
BGC0000509,epilancin 15x,JQ979180.1
BGC0000510,epilancin K7,U20348.1
BGC0000511,ericin S,AF233755.1
BGC0000513,Ery-9|Ery-6|Ery-8|Ery-7|Ery-5|Ery-4|Ery-3,AM420293.1
BGC0000514,gallidermin,DQ367437.1
BGC0000515,geobacillin I,CP000557.1
BGC0000516,geobacillin II,ABVH01000020.1
BGC0000517,haloduracin β|haloduracin α,BA000004.3
BGC0000518,informatipeptin,GG657757.1
BGC0000519,labyrinthopeptin A2|labyrinthopeptin A1|labyrinthopeptin A3,FN178622.1
BGC0000520,lacticin 3147 A1|lacticin 3147 A2,AE001272.1
BGC0000521,lacticin 481,U91581.1
BGC0000522,lacticin Z,AB740019.1
BGC0000523,lactocin S,Z54312.2
BGC0000525,lichenicidin VK21 A1|lichenicidin VK21 A2,GU949560.1
BGC0000526,macedocin,DQ835394.1
